Zt09_10_00013|g5110.t1
Zt09_1_01136|g4121.t1
Zt09_1_01137|g4120.t1
Zt09_1_01138|g4119.t1
Zt09_1_01139|g4118.t1
Zt09_1_01140|g4117.t1
Zt09_1_01141|g4116.t1
Zt09_1_01142|g4115.t1
Zt09_1_01143|g4114.t1
Zt09_1_01144|g1322.t1
Zt09_1_01145|g1323.t1
Zt09_1_01146|g1324.t1
Zt09_1_01153|g1328.t1
Zt09_1_01154|g1329.t1
Zt09_1_01155|g1330.t1
Zt09_1_01156|g1331.t1
Zt09_1_01157|g1332.t1
Zt09_1_01162|g1337.t1
Zt09_1_01163|g1338.t1
Zt09_1_01164|g1339.t1
Zt09_1_01165|g1340.t1
Zt09_1_01166|g1341.t1
Zt09_1_01167|g1342.t1
Zt09_1_01168|g1344.t1
Zt09_1_01170|g1347.t1
Zt09_1_01171|g1348.t1
Zt09_1_01172|g1349.t1
Zt09_1_01173|g1350.t1
Zt09_1_01178|g1354.t1
Zt09_1_01179|g1355.t1
Zt09_1_01180|g1356.t1
Zt09_1_01181|g1357.t1
Zt09_1_01182|g1358.t1
Zt09_1_01183|g1359.t1
Zt09_1_01184|g1360.t1
Zt09_1_01185|g1361.t1
Zt09_1_01186|g1362.t1
Zt09_1_01190|g230.t1
Zt09_1_01191|g229.t1
Zt09_1_01192|g228.t1
Zt09_1_01194|g225.t1
Zt09_1_01195|g224.t1
Zt09_1_01196|g223.t1
Zt09_1_01197|g222.t1
Zt09_1_01199|g220.t1
Zt09_1_01201|g218.t1
Zt09_1_01202|g217.t1
Zt09_1_01203|g216.t1
Zt09_1_01204|g215.t1
Zt09_1_01206|g212.t1
Zt09_1_01207|g211.t1
Zt09_1_01210|g208.t1
Zt09_1_01211|g207.t1
Zt09_1_01212|g206.t1
Zt09_1_01213|g205.t1
Zt09_1_01214|g204.t1
Zt09_1_01216|g202.t1
Zt09_1_01217|g201.t1
Zt09_1_01219|g199.t1
Zt09_1_01220|g198.t1
Zt09_1_01222|g196.t1
Zt09_1_01223|g195.t1
Zt09_1_01226|g192.t1
Zt09_1_01227|g191.t1
Zt09_1_01229|g189.t1
Zt09_1_01230|g188.t1
Zt09_1_01231|g187.t1
Zt09_1_01232|g186.t1
Zt09_1_01234|g184.t1
Zt09_1_01235|g183.t1
Zt09_1_01236|g182.t1
Zt09_1_01238|g179.t1
Zt09_1_01240|g9529.t1
Zt09_1_01241|g9528.t1
Zt09_1_01242|g9527.t1
Zt09_1_01243|g9526.t1
Zt09_1_01244|g9525.t1
Zt09_1_01246|g9522.t1
Zt09_1_01247|g9521.t1
Zt09_1_01251|g9518.t1
Zt09_1_01252|g9517.t1
Zt09_1_01254|g9516.t1
Zt09_1_01256|g9514.t1
Zt09_1_01259|g3119.t1
Zt09_1_01260|g3120.t1
Zt09_1_01261|g3121.t1
Zt09_1_01262|g3122.t1
Zt09_1_01264|g3124.t1
Zt09_1_01265|g3125.t1
Zt09_1_01266|g3126.t1
Zt09_1_01268|g3129.t1
Zt09_1_01269|g3130.t1
Zt09_1_01270|g3131.t1
Zt09_1_01271|g3132.t1
Zt09_1_01272|g3133.t1
Zt09_1_01274|g8306.t1
Zt09_1_01280|g8317.t1
Zt09_1_01281|g8318.t1
Zt09_1_01283|g7700.t1
Zt09_1_01285|g872.t1
Zt09_1_01287|g869.t1
Zt09_1_01289|g867.t1
Zt09_1_01291|g865.t1
Zt09_1_01295|g1993.t1
Zt09_1_01296|g1994.t1
Zt09_1_01297|g1995.t1
Zt09_1_01298|g1996.t1
Zt09_1_01299|g1997.t1
Zt09_1_01300|g1998.t1
Zt09_1_01301|g1999.t1
Zt09_1_01303|g2001.t1
Zt09_1_01304|g2002.t1
Zt09_1_01305|g2003.t1
Zt09_1_01306|g2004.t1
Zt09_1_01307|g372.t1
Zt09_1_01311|g368.t1
Zt09_1_01314|g366.t1
Zt09_1_01315|g365.t1
Zt09_1_01317|g363.t1
Zt09_1_01318|g362.t1
Zt09_1_01319|g361.t1
Zt09_1_01320|g360.t1
Zt09_1_01321|g359.t1
Zt09_1_01323|g358.t1
Zt09_1_01326|g355.t1
Zt09_1_01327|g354.t1
Zt09_1_01329|g351.t1
Zt09_1_01330|g350.t1
Zt09_1_01331|g349.t1
Zt09_1_01333|g347.t1
Zt09_1_01334|g346.t1
Zt09_1_01335|g344.t1
Zt09_1_01337|g343.t1
Zt09_1_01339|g341.t1
Zt09_1_01340|g340.t1
Zt09_1_01341|g339.t1
Zt09_1_01342|g338.t1
Zt09_1_01350|g6259.t1
Zt09_1_01351|g6258.t1
Zt09_1_01352|g6257.t1
Zt09_1_01354|g6255.t1
Zt09_1_01356|g6253.t1
Zt09_1_01358|g6251.t1
Zt09_1_01359|g6249.t1
Zt09_1_01361|g6248.t1
Zt09_1_01362|g6247.t1
Zt09_1_01364|g6244.t1
Zt09_1_01365|g6243.t1
Zt09_1_01366|g6242.t1
Zt09_1_01374|g6237.t1
Zt09_1_01376|g6235.t1
Zt09_1_01377|g6234.t1
Zt09_1_01379|g6231.t1
Zt09_1_01380|g6230.t1
Zt09_1_01381|g6229.t1
Zt09_1_01382|g6228.t1
Zt09_1_01383|g6227.t1
Zt09_1_01387|g10260.t1
Zt09_1_01390|g10263.t1
Zt09_1_01392|g10265.t1
Zt09_1_01393|g10266.t1
Zt09_1_01394|g10267.t1
Zt09_1_01396|g10269.t1
Zt09_1_01398|g10271.t1
Zt09_1_01399|g10272.t1
Zt09_1_01406|g10276.t1
Zt09_1_01408|g5997.t1
Zt09_1_01411|g1467.t1
Zt09_1_01412|g1468.t1
Zt09_1_01414|g1470.t1
Zt09_1_01420|g2349.t1
Zt09_1_01423|g2346.t1
Zt09_1_01424|g2345.t1
Zt09_1_01425|g2344.t1
Zt09_1_01426|g2343.t1
Zt09_1_01427|g2342.t1
Zt09_1_01428|g2341.t1
Zt09_1_01430|g2340.t1
Zt09_1_01431|g2339.t1
Zt09_1_01433|g2337.t1
Zt09_1_01436|g4376.t1
Zt09_1_01437|g4377.t1
Zt09_1_01438|g4378.t1
Zt09_1_01439|g4379.t1
Zt09_1_01440|g4380.t1
Zt09_1_01441|g4381.t1
Zt09_1_01443|g4384.t1
Zt09_1_01444|g4385.t1
Zt09_1_01445|g4386.t1
Zt09_1_01448|g4389.t1
Zt09_1_01449|g4390.t1
Zt09_1_01450|g4391.t1
Zt09_1_01451|g4392.t1
Zt09_1_01453|g2902.t1
Zt09_1_01455|g2904.t1
Zt09_1_01456|g2905.t1
Zt09_1_01458|g2907.t1
Zt09_1_01459|g2908.t1
Zt09_1_01460|g2909.t1
Zt09_1_01461|g2910.t1
Zt09_1_01463|g7265.t1
Zt09_1_01464|g7266.t1
Zt09_1_01466|g7268.t1
Zt09_1_01467|g7269.t1
Zt09_1_01469|g4213.t1
Zt09_1_01470|g4212.t1
Zt09_1_01471|g4210.t1
Zt09_1_01472|g4211.t1
Zt09_1_01473|g4207.t1
Zt09_1_01475|g4206.t1
Zt09_1_01476|g4205.t1
Zt09_1_01477|g4204.t1
Zt09_1_01480|g4200.t1
Zt09_1_01485|g4195.t1
Zt09_1_01486|g4194.t1
Zt09_1_01487|g4193.t1
Zt09_1_01489|g4192.t1
Zt09_1_01491|g4190.t1
Zt09_1_01492|g4189.t1
Zt09_1_01493|g4188.t1
Zt09_1_01494|g4187.t1
Zt09_1_01497|g4184.t1
Zt09_1_01500|g4181.t1
Zt09_1_01502|g4179.t1
Zt09_1_01503|g4178.t1
Zt09_1_01504|g4177.t1
Zt09_1_01505|g4176.t1
Zt09_1_01506|g4175.t1
Zt09_1_01507|g4174.t1
Zt09_1_01509|g4172.t1
Zt09_1_01510|g4171.t1
Zt09_1_01513|g4168.t1
Zt09_1_01514|g4167.t1
Zt09_1_01515|g4166.t1
Zt09_1_01516|g4165.t1
Zt09_1_01517|g4164.t1
Zt09_1_01519|g4162.t1
Zt09_1_01525|g4158.t1
Zt09_1_01527|g4155.t1
Zt09_1_01528|g4154.t1
Zt09_1_01529|g4153.t1
Zt09_1_01530|g4151.t1
Zt09_1_01531|g4150.t1
Zt09_1_01532|g4149.t1
Zt09_1_01534|g4146.t1
Zt09_1_01535|g4145.t1
Zt09_1_01536|g4144.t1
Zt09_1_01541|g2308.t1
Zt09_1_01543|g2307.t1
Zt09_1_01544|g2306.t1
Zt09_1_01545|g2305.t1
Zt09_1_01547|g672.t1
Zt09_1_01548|g671.t1
Zt09_1_01549|g670.t1
Zt09_1_01550|g669.t1
Zt09_1_01552|g667.t1
Zt09_1_01553|g666.t1
Zt09_1_01555|g3938.t1
Zt09_1_01557|g3936.t1
Zt09_1_01559|g3934.t1
Zt09_1_01560|g3933.t1
Zt09_1_01561|g3932.t1
Zt09_1_01562|g3930.t1
Zt09_1_01564|g3928.t1
Zt09_1_01565|g3927.t1
Zt09_1_01566|g3926.t1
Zt09_1_01568|g3924.t1
Zt09_1_01569|g3923.t1
Zt09_1_01570|g3922.t1
Zt09_1_01572|g3920.t1
Zt09_1_01574|g3918.t1
Zt09_1_01577|g1175.t1
Zt09_1_01578|g1176.t1
Zt09_1_01579|g1177.t1
Zt09_1_01580|g1178.t1
Zt09_1_01582|g1180.t1
Zt09_1_01584|g1183.t1
Zt09_1_01585|g1184.t1
Zt09_1_01586|g1185.t1
Zt09_1_01594|g7640.t1
Zt09_1_01596|g7643.t1
Zt09_1_01600|g7647.t1
Zt09_1_01602|g7649.t1
Zt09_1_01604|g7651.t1
Zt09_1_01605|g7652.t1
Zt09_1_01606|g6448.t1
Zt09_1_01607|g6447.t1
Zt09_1_01608|g6446.t1
Zt09_1_01609|g6445.t1
Zt09_1_01610|g6444.t1
Zt09_1_01613|g6441.t1
Zt09_1_01614|g6440.t1
Zt09_1_01616|g6439.t1
Zt09_1_01617|g6438.t1
Zt09_1_01619|g6436.t1
Zt09_1_01620|g6435.t1
Zt09_1_01621|g6434.t1
Zt09_1_01623|g6432.t1
Zt09_1_01624|g6431.t1
Zt09_1_01625|g6430.t1
Zt09_1_01626|g6429.t1
Zt09_1_01627|g6428.t1
Zt09_1_01628|g6427.t1
Zt09_1_01629|g6426.t1
Zt09_1_01630|g6425.t1
Zt09_1_01632|g6423.t1
Zt09_1_01633|g6422.t1
Zt09_1_01634|g6421.t1
Zt09_1_01635|g6420.t1
Zt09_1_01637|g6418.t1
Zt09_1_01640|g6415.t1
Zt09_1_01644|g1489.t1
Zt09_1_01647|g1486.t1
Zt09_1_01648|g1485.t1
Zt09_1_01655|g7460.t1
Zt09_1_01656|g7459.t1
Zt09_1_01657|g7458.t1
Zt09_1_01658|g7457.t1
Zt09_1_01659|g7456.t1
Zt09_1_01660|g7455.t1
Zt09_1_01661|g7454.t1
Zt09_1_01662|g7453.t1
Zt09_1_01669|g7441.t1
Zt09_1_01672|g7443.t1
Zt09_1_01674|g7445.t1
Zt09_1_01675|g7446.t1
Zt09_1_01676|g7447.t1
Zt09_1_01679|g7450.t1
Zt09_1_01682|g7433.t1
Zt09_1_01683|g7432.t1
Zt09_1_01684|g7431.t1
Zt09_1_01685|g7430.t1
Zt09_1_01686|g7429.t1
Zt09_1_01687|g7428.t1
Zt09_1_01689|g7426.t1
Zt09_1_01690|g7424.t1
Zt09_1_01692|g7421.t1
Zt09_1_01693|g7420.t1
Zt09_1_01694|g7419.t1
Zt09_1_01701|g7410.t1
Zt09_1_01702|g7411.t1
Zt09_1_01703|g7409.t1
Zt09_1_01704|g7408.t1
Zt09_1_01705|g7407.t1
Zt09_1_01706|g7406.t1
Zt09_1_01708|g7404.t1
Zt09_1_01709|g7403.t1
Zt09_1_01713|g7399.t1
Zt09_1_01714|g7398.t1
Zt09_1_01715|g7397.t1
Zt09_1_01716|g7396.t1
Zt09_1_01718|g7394.t1
Zt09_1_01721|g7392.t1
Zt09_1_01722|g7390.t1
Zt09_1_01725|g10575.t1
Zt09_1_01731|g10582.t1
Zt09_1_01733|g1544.t1
Zt09_1_01734|g1545.t1
Zt09_1_01736|g1547.t1
Zt09_1_01737|g1548.t1
Zt09_1_01739|g1553.t1
Zt09_1_01740|g1552.t1
Zt09_1_01743|g1554.t1
Zt09_1_01744|g1555.t1
Zt09_1_01747|g1558.t1
Zt09_1_01748|g1559.t1
Zt09_1_01749|g1560.t1
Zt09_1_01757|g10344.t1
Zt09_1_01758|g10343.t1
Zt09_1_01762|g10279.t1
Zt09_1_01764|g4443.t1
Zt09_1_01767|g4447.t1
Zt09_1_01774|g4457.t1
Zt09_1_01775|g4458.t1
Zt09_1_01776|g4459.t1
Zt09_1_01786|g10554.t1
Zt09_1_01788|g10553.t1
Zt09_1_01795|g10548.t1
Zt09_1_01798|g3190.t1
Zt09_1_01799|g3191.t1
Zt09_1_01801|g1463.t1
Zt09_1_01802|g1462.t1
Zt09_1_01813|g1451.t1
Zt09_1_01816|g1448.t1
Zt09_1_01817|g2008.t1
Zt09_1_01818|g2009.t1
Zt09_1_01821|g2011.t1
Zt09_1_01829|g2017.t1
Zt09_1_01833|g2013.t1
Zt09_1_01850|g2033.t1
Zt09_1_01851|g2032.t1
Zt09_1_01853|g7243.t1
Zt09_1_01854|g7244.t1
Zt09_1_01855|g7245.t1
Zt09_1_01857|g7240.t1
Zt09_1_01861|g7236.t1
Zt09_1_01862|g7235.t1
Zt09_1_01865|g5259.t1
Zt09_1_01866|g5258.t1
Zt09_1_01872|g5251.t1
Zt09_1_01874|g5248.t1
Zt09_1_01875|g5247.t1
Zt09_1_01876|g5246.t1
Zt09_1_01881|g5241.t1
Zt09_1_01882|g5240.t1
Zt09_1_01883|g5239.t1
Zt09_1_01887|g5235.t1
Zt09_1_01888|g5234.t1
Zt09_1_01889|g5233.t1
Zt09_1_01890|g5232.t1
Zt09_1_01891|g5231.t1
Zt09_1_01897|g11115.t1
Zt09_1_01899|g11118.t1
Zt09_1_01902|g6320.t1
Zt09_1_01903|g6319.t1
Zt09_1_01904|g6318.t1
Zt09_1_01905|g6317.t1
Zt09_1_01908|g6313.t1
Zt09_1_01909|g6312.t1
Zt09_1_01910|g6311.t1
Zt09_1_01911|g6310.t1
Zt09_1_01912|g6309.t1
Zt09_1_01917|g6303.t1
Zt09_1_01918|g6302.t1
Zt09_1_01919|g6300.t1
Zt09_1_01920|g6299.t1
Zt09_1_01921|g6298.t1
Zt09_1_01923|g8897.t1
Zt09_1_01924|g8896.t1
Zt09_1_01925|g8895.t1
Zt09_1_01926|g8894.t1
Zt09_1_01929|g8891.t1
Zt09_1_01930|g8890.t1
Zt09_1_01931|g8889.t1
Zt09_1_01932|g8888.t1
Zt09_1_01933|g4058.t1
Zt09_1_01934|g4059.t1
Zt09_1_01935|g4060.t1
Zt09_1_01937|g4062.t1
Zt09_1_01938|g4063.t1
Zt09_1_01939|g4064.t1
Zt09_1_01941|g4066.t1
Zt09_1_01942|g4067.t1
Zt09_1_01943|g4068.t1
Zt09_1_01944|g4069.t1
Zt09_1_01945|g4070.t1
Zt09_1_01947|g4072.t1
Zt09_1_01948|g4073.t1
Zt09_1_01949|g4074.t1
Zt09_1_01951|g4076.t1
Zt09_1_01952|g4077.t1
Zt09_1_01953|g4078.t1
Zt09_1_01954|g4079.t1
Zt09_1_01959|g4084.t1
Zt09_1_01963|g4088.t1
Zt09_1_01976|g4098.t1
Zt09_1_01980|g4102.t1
Zt09_1_01981|g4103.t1
Zt09_1_01982|g4104.t1
Zt09_1_01983|g4105.t1
Zt09_1_01984|g4106.t1
Zt09_1_01987|g4110.t1
Zt09_1_01991|g9779.t1
Zt09_1_01993|g9780.t1
Zt09_1_01995|g9784.t1
Zt09_1_01997|g3840.t1
Zt09_1_01998|g3841.t1
Zt09_1_01999|g3842.t1
Zt09_1_02006|g7121.t1
Zt09_1_02007|g7122.t1
Zt09_1_02008|g7123.t1
Zt09_1_02009|g7124.t1
Zt09_1_02013|g3837.t1
Zt09_1_02014|g3836.t1
Zt09_1_02015|g3835.t1
Zt09_1_02017|g3834.t1
Zt09_1_02018|g3833.t1
Zt09_1_02019|g3832.t1
Zt09_1_02020|g3831.t1
Zt09_1_02024|g11476.t1
Zt09_1_02026|g11478.t1
Zt09_1_02031|g4536.t1
Zt09_1_02033|g6626.t1
Zt09_1_02034|g9256.t1
Zt09_1_02035|g3827.t1
Zt09_1_02036|g3828.t1
Zt09_1_02037|g3829.t1
Zt09_1_02039|g8300.t1
Zt09_1_02041|g1392.t1
Zt09_1_02043|g1390.t1
Zt09_1_02044|g1389.t1
Zt09_1_02045|g1388.t1
Zt09_1_02046|g1387.t1
Zt09_1_02047|g1386.t1
Zt09_1_02049|g1384.t1
Zt09_1_02051|g1382.t1
Zt09_1_02057|g1374.t1
Zt09_1_02062|g9879.t1
Zt09_1_02064|g9880.t1
Zt09_1_02065|g9881.t1
Zt09_1_02066|g9882.t1
Zt09_1_02067|g9883.t1
Zt09_1_02070|g9887.t1
Zt09_1_02071|g9888.t1
Zt09_1_02073|g9890.t1
Zt09_1_02074|g9891.t1
Zt09_1_02075|g9892.t1
Zt09_1_02080|g11151.t1
Zt09_1_02081|g11152.t1
Zt09_1_02084|g9902.t1
Zt09_1_02088|g11150.t1
Zt09_1_02090|g11149.t1
Zt09_1_02091|g11148.t1
Zt09_1_02092|g11147.t1
Zt09_1_02093|g11146.t1
Zt09_1_02095|g4296.t1
Zt09_1_02098|g6013.t1
Zt09_1_02099|g6012.t1
Zt09_1_02101|g6010.t1
Zt09_1_02111|g10192.t1
Zt09_1_02112|g10193.t1
Zt09_11_00008|g4397.t1
Zt09_11_00010|g4399.t1
Zt09_11_00011|g4400.t1
Zt09_11_00012|g4402.t1
Zt09_11_00013|g4401.t1
Zt09_11_00019|g7786.t1
Zt09_11_00021|g7788.t1
Zt09_11_00024|g7791.t1
Zt09_11_00026|g7793.t1
Zt09_11_00027|g7794.t1
Zt09_11_00031|g3528.t1
Zt09_11_00043|g260.t1
Zt09_11_00044|g259.t1
Zt09_11_00045|g258.t1
Zt09_11_00046|g257.t1
Zt09_11_00049|g255.t1
Zt09_11_00052|g252.t1
Zt09_11_00053|g251.t1
Zt09_11_00054|g250.t1
Zt09_11_00058|g304.t1
Zt09_11_00061|g301.t1
Zt09_11_00062|g300.t1
Zt09_11_00063|g299.t1
Zt09_11_00064|g298.t1
Zt09_11_00067|g7275.t1
Zt09_11_00070|g7272.t1
Zt09_11_00072|g1370.t1
Zt09_11_00073|g1371.t1
Zt09_11_00076|g279.t1
Zt09_11_00078|g282.t1
Zt09_11_00079|g283.t1
Zt09_11_00080|g284.t1
Zt09_11_00082|g286.t1
Zt09_11_00083|g288.t1
Zt09_11_00084|g289.t1
Zt09_11_00086|g291.t1
Zt09_11_00087|g293.t1
Zt09_11_00088|g294.t1
Zt09_11_00096|g11130.t1
Zt09_11_00097|g7295.t1
Zt09_11_00101|g7290.t1
Zt09_11_00102|g7289.t1
Zt09_11_00104|g7286.t1
Zt09_11_00106|g7283.t1
Zt09_11_00107|g7282.t1
Zt09_11_00108|g7281.t1
Zt09_11_00119|g4999.t1
Zt09_11_00124|g9740.t1
Zt09_11_00130|g728.t1
Zt09_11_00131|g729.t1
Zt09_11_00132|g730.t1
Zt09_11_00133|g731.t1
Zt09_11_00134|g732.t1
Zt09_11_00140|g5201.t1
Zt09_11_00143|g5196.t1
Zt09_11_00144|g5195.t1
Zt09_11_00145|g5194.t1
Zt09_11_00146|g5193.t1
Zt09_11_00148|g5191.t1
Zt09_11_00150|g5189.t1
Zt09_11_00151|g5187.t1
Zt09_11_00154|g5184.t1
Zt09_11_00155|g5183.t1
Zt09_11_00159|g5180.t1
Zt09_11_00160|g5179.t1
Zt09_11_00164|g5175.t1
Zt09_11_00165|g5174.t1
Zt09_11_00168|g5171.t1
Zt09_11_00169|g2178.t1
Zt09_11_00170|g2176.t1
Zt09_11_00174|g2174.t1
Zt09_11_00175|g2173.t1
Zt09_11_00176|g2172.t1
Zt09_11_00177|g2171.t1
Zt09_11_00179|g2170.t1
Zt09_11_00181|g2168.t1
Zt09_11_00183|g2166.t1
Zt09_11_00188|g2161.t1
Zt09_11_00189|g2160.t1
Zt09_11_00197|g2152.t1
Zt09_11_00206|g5741.t1
Zt09_11_00210|g5737.t1
Zt09_11_00211|g5736.t1
Zt09_11_00212|g5735.t1
Zt09_11_00213|g5734.t1
Zt09_11_00214|g5733.t1
Zt09_11_00218|g5729.t1
Zt09_11_00219|g5728.t1
Zt09_11_00220|g5727.t1
Zt09_11_00223|g5722.t1
Zt09_11_00224|g5723.t1
Zt09_11_00227|g5719.t1
Zt09_11_00228|g5718.t1
Zt09_11_00229|g5717.t1
Zt09_11_00230|g5716.t1
Zt09_11_00233|g5713.t1
Zt09_11_00235|g5711.t1
Zt09_11_00238|g5707.t1
Zt09_11_00239|g5706.t1
Zt09_11_00240|g5705.t1
Zt09_11_00241|g5703.t1
Zt09_11_00242|g5702.t1
Zt09_11_00254|g5690.t1
Zt09_11_00258|g5688.t1
Zt09_11_00260|g5686.t1
Zt09_11_00261|g5685.t1
Zt09_11_00262|g5684.t1
Zt09_11_00275|g11485.t1
Zt09_11_00276|g11484.t1
Zt09_11_00277|g11483.t1
Zt09_11_00278|g11314.t1
Zt09_11_00279|g11313.t1
Zt09_11_00284|g4476.t1
Zt09_11_00285|g4475.t1
Zt09_11_00288|g7130.t1
Zt09_11_00290|g7132.t1
Zt09_11_00291|g7133.t1
Zt09_11_00294|g7136.t1
Zt09_11_00295|g7137.t1
Zt09_11_00297|g7139.t1
Zt09_11_00298|g7140.t1
Zt09_11_00299|g7141.t1
Zt09_11_00300|g7142.t1
Zt09_11_00301|g7143.t1
Zt09_11_00302|g7144.t1
Zt09_11_00303|g7145.t1
Zt09_11_00304|g7147.t1
Zt09_11_00306|g7148.t1
Zt09_11_00307|g7149.t1
Zt09_11_00308|g7150.t1
Zt09_11_00309|g7151.t1
Zt09_11_00310|g7152.t1
Zt09_11_00312|g7154.t1
Zt09_11_00313|g7155.t1
Zt09_11_00317|g7161.t1
Zt09_11_00320|g4055.t1
Zt09_11_00321|g4054.t1
Zt09_11_00322|g4053.t1
Zt09_11_00323|g4052.t1
Zt09_11_00325|g4050.t1
Zt09_11_00326|g4049.t1
Zt09_11_00328|g8712.t1
Zt09_11_00329|g8713.t1
Zt09_11_00332|g8716.t1
Zt09_11_00333|g8717.t1
Zt09_11_00334|g8718.t1
Zt09_11_00335|g8719.t1
Zt09_11_00336|g8720.t1
Zt09_11_00339|g8723.t1
Zt09_11_00344|g4712.t1
Zt09_11_00345|g4714.t1
Zt09_11_00347|g4716.t1
Zt09_11_00348|g4717.t1
Zt09_11_00349|g4718.t1
Zt09_11_00350|g4719.t1
Zt09_11_00351|g4720.t1
Zt09_11_00352|g4721.t1
Zt09_11_00353|g4722.t1
Zt09_11_00354|g4723.t1
Zt09_11_00366|g4728.t1
Zt09_11_00368|g4730.t1
Zt09_11_00369|g4731.t1
Zt09_11_00370|g4732.t1
Zt09_11_00371|g4733.t1
Zt09_11_00372|g4734.t1
Zt09_11_00373|g4735.t1
Zt09_11_00375|g4737.t1
Zt09_11_00376|g4738.t1
Zt09_11_00377|g4739.t1
Zt09_11_00378|g4740.t1
Zt09_11_00385|g4748.t1
Zt09_11_00386|g4749.t1
Zt09_11_00391|g11127.t1
Zt09_11_00394|g4900.t1
Zt09_11_00396|g4898.t1
Zt09_11_00397|g4890.t1
Zt09_11_00398|g4891.t1
Zt09_11_00400|g4894.t1
Zt09_11_00407|g4883.t1
Zt09_11_00408|g4882.t1
Zt09_11_00409|g4881.t1
Zt09_11_00410|g4880.t1
Zt09_11_00415|g4324.t1
Zt09_11_00417|g4322.t1
Zt09_11_00420|g4317.t1
Zt09_11_00421|g4316.t1
Zt09_11_00423|g9692.t1
Zt09_11_00426|g2465.t1
Zt09_11_00428|g2464.t1
Zt09_11_00429|g2463.t1
Zt09_11_00432|g6836.t1
Zt09_11_00433|g6835.t1
Zt09_11_00434|g6834.t1
Zt09_11_00437|g6831.t1
Zt09_11_00438|g6830.t1
Zt09_11_00439|g6829.t1
Zt09_11_00440|g6828.t1
Zt09_11_00441|g6827.t1
Zt09_11_00448|g6456.t1
Zt09_11_00449|g6455.t1
Zt09_11_00452|g6452.t1
Zt09_11_00453|g6451.t1
Zt09_11_00465|g2935.t1
Zt09_11_00471|g3512.t1
Zt09_11_00472|g3513.t1
Zt09_11_00475|g3517.t1
Zt09_11_00476|g3518.t1
Zt09_11_00477|g3519.t1
Zt09_11_00478|g3520.t1
Zt09_11_00480|g3522.t1
Zt09_11_00485|g2938.t1
Zt09_11_00486|g2939.t1
Zt09_11_00491|g421.t1
Zt09_11_00495|g420.t1
Zt09_11_00502|g415.t1
Zt09_11_00510|g2334.t1
Zt09_11_00512|g10375.t1
Zt09_11_00514|g2324.t1
Zt09_11_00516|g2326.t1
Zt09_11_00517|g2328.t1
Zt09_11_00518|g2329.t1
Zt09_12_00007|g10324.t1
Zt09_12_00009|g10326.t1
Zt09_12_00013|g10328.t1
Zt09_12_00014|g10329.t1
Zt09_12_00016|g10331.t1
Zt09_12_00019|g10333.t1
Zt09_12_00025|g10807.t1
Zt09_12_00026|g10808.t1
Zt09_12_00027|g10809.t1
Zt09_12_00029|g11408.t1
Zt09_12_00032|g11411.t1
Zt09_12_00042|g8260.t1
Zt09_12_00047|g8264.t1
Zt09_12_00048|g8265.t1
Zt09_12_00053|g8270.t1
Zt09_12_00055|g8272.t1
Zt09_12_00056|g8273.t1
Zt09_12_00062|g3474.t1
Zt09_12_00063|g3473.t1
Zt09_12_00064|g3472.t1
Zt09_12_00065|g3454.t1
Zt09_12_00066|g3455.t1
Zt09_12_00067|g3456.t1
Zt09_12_00068|g3457.t1
Zt09_12_00069|g3458.t1
Zt09_12_00070|g3459.t1
Zt09_12_00073|g3463.t1
Zt09_12_00074|g3464.t1
Zt09_12_00075|g3465.t1
Zt09_12_00076|g3466.t1
Zt09_12_00080|g3471.t1
Zt09_12_00083|g3451.t1
Zt09_12_00084|g7309.t1
Zt09_12_00087|g4298.t1
Zt09_12_00088|g4299.t1
Zt09_12_00090|g2092.t1
Zt09_12_00094|g2790.t1
Zt09_12_00102|g10820.t1
Zt09_12_00104|g10818.t1
Zt09_12_00106|g10817.t1
Zt09_12_00113|g11405.t1
Zt09_12_00117|g11401.t1
Zt09_12_00118|g375.t1
Zt09_12_00121|g6018.t1
Zt09_12_00122|g6019.t1
Zt09_12_00127|g6025.t1
Zt09_12_00130|g6027.t1
Zt09_12_00133|g6031.t1
Zt09_12_00138|g6399.t1
Zt09_12_00139|g6400.t1
Zt09_12_00143|g6402.t1
Zt09_12_00144|g6403.t1
Zt09_12_00148|g6408.t1
Zt09_12_00151|g6412.t1
Zt09_12_00152|g6411.t1
Zt09_12_00169|g5226.t1
Zt09_12_00172|g10740.t1
Zt09_12_00173|g1005.t1
Zt09_12_00176|g1008.t1
Zt09_12_00177|g1010.t1
Zt09_12_00178|g1011.t1
Zt09_12_00179|g1012.t1
Zt09_12_00180|g1013.t1
Zt09_12_00187|g1021.t1
Zt09_12_00188|g1022.t1
Zt09_12_00189|g1023.t1
Zt09_12_00204|g3598.t1
Zt09_12_00206|g3600.t1
Zt09_12_00207|g3601.t1
Zt09_12_00209|g3603.t1
Zt09_12_00210|g3604.t1
Zt09_12_00216|g94.t1
Zt09_12_00219|g373.t1
Zt09_12_00227|g4337.t1
Zt09_12_00234|g4341.t1
Zt09_12_00235|g4342.t1
Zt09_12_00238|g4345.t1
Zt09_12_00250|g4356.t1
Zt09_12_00251|g4357.t1
Zt09_12_00253|g4360.t1
Zt09_12_00254|g8508.t1
Zt09_12_00255|g8509.t1
Zt09_12_00256|g8510.t1
Zt09_12_00258|g8512.t1
Zt09_12_00261|g8514.t1
Zt09_12_00265|g8517.t1
Zt09_12_00268|g8521.t1
